rna29947	Xetrov90000001m.g
rna39932	kiaa1456
rna39933	kiaa1456
rna61945	dlc1
rna42754	sgcz
rna30998	sgcz
rna40602	mir383
rna40603	mir383
rna58372	tusc3
rna50274	msr1
rna50275	msr1
rna45726	fgf20
rna52244	micu3
rna52243	micu3
rna63812	zdhhc2
rna63813	zdhhc2
rna6308	cnot7
rna6309	cnot7
rna6307	cnot7
rna36037	vps37a
rna55571	mtmr7
rna43887	slc7a2.1
rna43888	slc7a2.1
rna43890	slc7a2.1
rna43889	slc7a2.1
rna6911	pdgfrl
rna6912	pdgfrl
rna7319	mtus1
rna7320	mtus1
rna7322	mtus1
rna7321	mtus1
rna7323	mtus1
rna7318	mtus1
rna7317	mtus1
rna7324	mtus1
rna6477	fgl1
rna6478	fgl1
rna6476	fgl1
rna47208	LOC100497825
rna14688	pcm1
rna14690	pcm1
rna14689	pcm1
rna14687	pcm1
rna14691	pcm1
rna14685	pcm1
rna14686	pcm1
rna14692	pcm1
rna14693	pcm1
rna10394	gtf2e1.2
rna10393	gtf2e1.2
rna10392	gtf2e1.2
rna10395	gtf2e1.2
rna2403	asah1
rna2402	asah1
rna2203	frg1
rna2201	frg1
rna2202	frg1
rna2204	frg1
rna29614	Xetrov90000717m.g
rna42041	fat1
rna42042	fat1
rna42043	fat1
rna42045	fat1
rna42044	fat1
rna42046	fat1
rna42047	fat1
rna34045	Xetrov90000718m.g
rna30814	mtnr1a
rna61120	klkb1
rna61121	klkb1
rna10981	cyp4v2-like.1
rna10980	cyp4v2-like.1
rna44376	LOC108648100
rna845	cyp4v2-like.2
rna844	cyp4v2-like.2
rna32963	Xetrov90000726m.g
rna57207	fam149a
rna57208	fam149a
rna57209	fam149a
rna38238	tlr3
rna31976	Xetrov90000729m.g
rna23714	sorbs2
rna23713	sorbs2
rna23710	sorbs2
rna23709	sorbs2
rna23711	sorbs2
rna23712	sorbs2
rna23715	sorbs2
rna23716	sorbs2
rna23717	sorbs2
rna23718	sorbs2
rna23719	sorbs2
rna23720	sorbs2
rna23721	sorbs2
rna10295	pdlim3
rna10296	pdlim3
rna10297	pdlim3
rna10298	pdlim3
rna10293	pdlim3
rna10294	pdlim3
rna20622	c4orf47
rna20621	c4orf47
rna15019	ufsp2
rna15018	ufsp2
rna15020	ufsp2
rna15021	ufsp2
rna47860	ankrd37
rna9690	lrp2bp
rna9691	lrp2bp
rna9689	lrp2bp
rna9692	lrp2bp
rna60861	snx25
rna60862	snx25
rna15900	cfap97
rna15901	cfap97
rna14591	slc25a4
rna14592	slc25a4
rna459	LOC100487093
rna460	LOC100487093
rna58703	helt
rna17371	acsl1
rna17372	acsl1
rna17369	acsl1
rna17370	acsl1
rna17373	acsl1
rna17374	acsl1
rna47719	cenpu
rna5815	LOC100486222
rna5814	LOC100486222
rna59993	primpol
rna15543	casp3
rna15544	casp3
rna15545	casp3
rna15542	casp3
rna19356	irf2
rna19357	irf2
rna19358	irf2
rna19359	irf2
rna19360	irf2
rna4639	enpp6
rna4640	enpp6
rna63161	stox2
rna63162	stox2
rna63163	stox2
rna63164	stox2
rna63165	stox2
rna63166	stox2
rna63167	stox2
rna63168	stox2
rna57709	trappc11
rna4235	rwdd4
rna4236	rwdd4
rna4237	rwdd4
rna44764	LOC105945152
rna38327	LOC101730828
rna25314	ing2
rna25315	ing2
rna14583	cdkn2aip
rna14584	cdkn2aip
rna27329	cldn22
rna27330	cldn22
rna38077	LOC100486784
rna60799	wwc2
rna10638	dctd
rna10639	dctd
rna41842	LOC105946470
rna33215	Xetrov90000766m.g
rna48332	tenm3
rna34372	tenm2-like.1
rna51038	aga
rna51039	aga
rna57342	neil3
rna27883	neil3
rna37871	vegfc
rna34087	Xetrov90000771m.g
rna15624	spcs3
rna15625	spcs3
rna63133	asb5
rna36679	spata4
rna42936	wdr17
rna49743	gpm6a
rna39922	glra3
rna52864	hpgd
rna52865	hpgd
rna16660	cep44
rna16661	cep44
rna16662	cep44
rna16659	cep44
rna36688	fbxo8
rna36689	fbxo8
rna36690	fbxo8
rna24374	hand2
rna24373	hand2
rna24375	hand2
rna56971	LOC101731812
rna32336	Xetrov90000783m.g
rna62817	scrg1
rna39578	sap30
rna53032	LOC101731713
rna53033	LOC101731713
rna53034	LOC101731713
rna60019	hmgb2
rna59220	galnt7
rna59221	galnt7
rna59222	galnt7
rna52714	LOC101731619
rna52715	LOC101731619
rna46717	galntl6
rna30567	Xetrov90000790m.g
rna31315	Xetrov90000791m.g
rna30310	Xetrov90000792m.g
rna40104	LOC105946249
rna40103	LOC105946249
rna63414	LOC108645671
rna56972	LOC105946250
rna36225	LOC105946248
rna2872	LOC101731392
rna2873	LOC101731392
rna52447	aadat
rna52446	aadat
rna52448	aadat
rna52449	aadat
rna52450	aadat
rna52451	aadat
rna52452	aadat
rna52453	aadat
rna52454	aadat
rna7346	mfap3l
rna7347	mfap3l
rna7348	mfap3l
rna7345	mfap3l
rna54630	LOC105946247
rna12468	c4orf27
rna12469	c4orf27
rna12470	c4orf27
rna38308	clcn3
rna38309	clcn3
rna38310	clcn3
rna38312	clcn3
rna38313	clcn3
rna38314	clcn3
rna38311	clcn3
rna38315	clcn3
rna38316	clcn3
rna38317	clcn3
rna57302	nek1
rna57304	nek1
rna57303	nek1
rna16240	sh3rf1
rna16241	sh3rf1
rna16242	sh3rf1
rna16243	sh3rf1
rna16244	sh3rf1
rna16239	sh3rf1
rna16237	sh3rf1
rna16238	sh3rf1
rna16245	sh3rf1
rna29551	Xetrov90000811m.g
rna26420	cbr4
rna26419	cbr4
rna26421	cbr4
rna26422	cbr4
rna26423	cbr4
rna63517	palld
rna63518	palld
rna27999	Xetrov90000814m.g
rna53500	LOC100489731
rna44329	ddx60
rna20953	LOC100488610
rna20952	LOC100488610
rna12667	anxa10
rna12666	anxa10
rna63283	spock3
rna63284	spock3
rna63285	spock3
rna31783	tll1-like.1
rna63262	tll1
rna63263	tll1
rna63264	tll1
rna42257	cpe
rna6695	msmo1
rna6696	msmo1
rna59083	klhl2
rna59084	klhl2
rna59085	klhl2
rna61594	tmem192
rna61595	tmem192
rna61596	tmem192
rna14977	apela
rna14978	apela
rna48916	LOC100494224
rna56720	march1
rna14062	tma16
rna14063	tma16
rna14064	tma16
rna14065	tma16
rna14594	npy5r
rna14593	npy5r
rna40191	npy1r
rna26958	naf1
rna26957	naf1
rna29771	Xetrov90000837m.g
rna63344	fstl5
rna63345	fstl5
rna51107	rapgef2
rna51108	rapgef2
rna51111	rapgef2
rna51112	rapgef2
rna51110	rapgef2
rna51109	rapgef2
rna51113	rapgef2
rna51114	rapgef2
rna51115	rapgef2
rna51116	rapgef2
rna9529	c4orf45
rna9528	c4orf45
rna7043	fnip2
rna7044	fnip2
rna7045	fnip2
rna7046	fnip2
rna7048	fnip2
rna7047	fnip2
rna37213	LOC105946468
rna1021	ppid
rna1019	ppid
rna1020	ppid
rna1022	ppid
rna46899	etfdh
rna15615	c4orf46
rna15616	c4orf46
rna38002	rxfp1
rna30151	Xetrov90000855m.g
rna5603	tmem144
rna5605	tmem144
rna5604	tmem144
rna5606	tmem144
rna51154	fam198b
rna59208	gria2
rna3936	glrb
rna3937	glrb
rna3938	glrb
rna3939	glrb
rna3940	glrb
rna47909	pdgfc
rna53245	asic5
rna53246	asic5
rna53248	asic5
rna53247	asic5
rna24491	tdo2
rna24492	tdo2
rna18295	gucy1b3
rna18296	gucy1b3
rna18294	gucy1b3
rna54495	gucy1a3
rna42971	map9
rna42972	map9
rna42973	map9
rna42974	map9
rna28217	Xetrov90000870m.g
rna26321	npy2r-like.1
rna26322	npy2r-like.1
rna60931	LOC108645704
rna44606	rbm46
rna44607	rbm46
rna44608	rbm46
rna47957	LOC101734429
rna39761	LOC108648178
rna24036	LOC108648176
rna8803	lrat
rna8802	lrat
rna8804	lrat
rna42196	LOC100485159
rna42197	LOC100485159
rna42198	LOC100485159
rna42199	LOC100485159
rna42200	LOC100485159
rna42201	LOC100485159
rna12558	fgg
rna12557	fgg
rna24578	fga
rna24577	fga
rna56692	LOC101730283
rna12648	fgb
rna12649	fgb
rna3066	plrg1
rna3067	plrg1
rna54127	dchs2
rna6074	sfrp2
rna6075	sfrp2
rna36085	tlr2
rna36086	tlr2
rna59182	LOC100485927
rna64100	LOC105946245
rna52702	kiaa0922
rna52703	kiaa0922
rna52704	kiaa0922
rna52706	kiaa0922
rna52705	kiaa0922
rna52707	kiaa0922
rna62490	mnd1
rna62491	mnd1
rna2968	trim2
rna2969	trim2
rna2964	trim2
rna2970	trim2
rna2971	trim2
rna2973	trim2
rna2972	trim2
rna2974	trim2
rna2975	trim2
rna2976	trim2
rna2977	trim2
rna2965	trim2
rna2966	trim2
rna2967	trim2
rna42874	LOC105946244
rna56664	fhdc1
rna28631	Xetrov90000895m.g
rna37424	arfip1
rna37426	arfip1
rna37425	arfip1
rna37427	arfip1
rna37428	arfip1
rna42365	tmem154
rna42367	tmem154
rna42366	tmem154
rna14817	ercc8
rna14818	ercc8
rna58808	fbxw7
rna58809	fbxw7
rna58810	fbxw7
rna58811	fbxw7
rna58812	fbxw7
rna29217	Xetrov90000901m.g
rna29840	Xetrov90000903m.g
rna36189	LOC105946467
rna20946	LOC100486522
rna52339	gatb
rna52338	gatb
rna58917	fam160a1
rna58919	fam160a1
rna58918	fam160a1
rna28059	Xetrov90000909m.g
rna58955	LOC108648193
rna21037	LOC108648195
rna21036	LOC108648195
rna21038	LOC108648195
rna46456	LOC101735014
rna56784	LOC105946241
rna4735	LOC100488648
rna4734	LOC100488648
rna34485	Xetrov90000912m.g
rna36159	LOC108648197
rna59986	sh3d19
rna59987	sh3d19
rna59989	sh3d19
rna59988	sh3d19
rna59990	sh3d19
rna59991	sh3d19
rna59992	sh3d19
rna31786	Xetrov90000913m.g
rna35489	rps3a
rna13845	lrba
rna13844	lrba
rna24240	LOC108648203
rna24241	LOC108648203
rna24242	LOC108648203
rna5106	LOC105946240
rna5105	LOC105946240
rna2253	mab21l2
rna2252	mab21l2
rna41650	dclk2
rna41651	dclk2
rna48403	nr3c2
rna18729	arhgap10
rna18730	arhgap10
rna18731	arhgap10
rna18732	arhgap10
rna57392	prmt9
rna57393	prmt9
rna57394	prmt9
rna57395	prmt9
rna57398	prmt9
rna57396	prmt9
rna57397	prmt9
rna14631	tmem184c
rna14632	tmem184c
rna27652	Xetrov90000927m.g
rna45418	ednra
rna51928	LOC105946466
rna17078	ttc29
rna17077	ttc29
rna32771	Xetrov90000931m.g
rna1058	pou4f2
rna1057	pou4f2
rna46813	slc10a7
rna55268	LOC101732286
rna61693	LOC100485235
rna38891	LOC101734830
rna4562	lsm6
rna4563	lsm6
rna4564	lsm6
rna4565	lsm6
rna4566	lsm6
rna4567	lsm6
rna4568	lsm6
rna46135	znf827
rna46136	znf827
rna46137	znf827
rna6572	LOC100498590
rna6571	LOC100498590
rna62855	mmaa
rna37096	smad1
rna37097	smad1
rna32382	Xetrov90000944m.g
rna34880	Xetrov90000945m.g
rna21767	hhip
rna21769	hhip
rna21768	hhip
rna32766	Xetrov90000948m.g
rna28122	Xetrov90000949m.g
rna6915	anapc10
rna6916	anapc10
rna6917	anapc10
rna6913	anapc10
rna6914	anapc10
rna6918	anapc10
rna59630	abce1
rna61524	LOC101734762
rna8632	otud4-like.1
rna8633	otud4-like.1
rna48385	frem3
rna3258	smarca5
rna3259	smarca5
rna3260	smarca5
rna62819	gab1
rna56569	usp38
rna56570	usp38
rna45831	inpp4b
rna45832	inpp4b
rna45833	inpp4b
rna28062	inpp4b-like.2
rna39470	LOC100496251
rna33965	Xetrov90000965m.g
rna34133	Xetrov90000965m.g
rna12114	il15
rna12115	il15
rna12116	il15
rna12117	il15
rna12112	il15
rna12113	il15
rna12118	il15
rna22619	znf330
rna22622	znf330
rna22620	znf330
rna22623	znf330
rna22624	znf330
rna22594	rnf150
rna22595	rnf150
rna34368	Xetrov90000971m.g
rna18400	tbc1d9
rna18401	tbc1d9
rna18402	tbc1d9
rna25473	ucp1
rna25474	ucp1
rna8412	elmod2
rna8413	elmod2
rna8414	elmod2
rna41721	LOC101731677
rna41722	LOC101731677
rna63875	mgat4a
rna51024	clgn
rna51023	clgn
rna51025	clgn
rna42397	scoc
rna42398	scoc
rna37838	maml3
rna37839	maml3
rna37840	maml3
rna58803	mgst2
rna9849	LOC100127860
rna9850	LOC100127860
rna9848	LOC100127860
rna16227	setd7
rna16228	setd7
rna16225	setd7
rna16226	setd7
rna16229	setd7
rna30954	Xetrov90000985m.g
rna6687	LOC733556
rna6684	LOC733556
rna6686	LOC733556
rna6685	LOC733556
rna6688	LOC733556
rna6689	LOC733556
rna6690	LOC733556
rna26328	rab33b
rna26329	rab33b
rna26327	rab33b
rna47763	LOC100145011
rna19277	naa15
rna19278	naa15
rna31190	ndufc1
rna2145	ccrn4l
rna2144	ccrn4l
rna56136	elf2
rna56137	elf2
rna56138	elf2
rna56139	elf2
rna38202	LOC101734589
rna59593	mgarp
rna62031	slc7a11
rna62032	slc7a11
rna53712	LOC101734522
rna53713	LOC101734522
rna32240	Xetrov90001000m.g
rna29548	Xetrov90001002m.g
rna15926	pcdh18
rna15925	pcdh18
rna29222	Xetrov90001004m.g
rna38900	pcdh10
rna38901	pcdh10
rna38902	pcdh10
rna31752	pcdh10
rna63047	LOC108648244
rna55503	LOC101730253
rna43564	LOC100497520
rna35828	LOC105946349
rna59883	LOC108645672
rna52014	LOC100135109
rna18180	c4orf33
rna18181	c4orf33
rna18182	c4orf33
rna59663	sclt1
rna59664	sclt1
rna59665	sclt1
rna59666	sclt1
rna830	jade1
rna829	jade1
rna831	jade1
rna832	jade1
rna833	jade1
rna810	pgrmc2
rna809	pgrmc2
rna36102	larp1b
rna58714	abhd18
rna58715	abhd18
rna58716	abhd18
rna58717	abhd18
rna58718	abhd18
rna58719	abhd18
rna52015	mfsd8
rna45665	plk4
rna45666	plk4
rna38892	LOC100498290
rna61983	intu
rna61984	intu
rna61985	intu
rna61986	intu
rna28644	Xetrov90001022m.g
rna28055	Xetrov90001022m.g
rna55199	LOC100498452
rna55200	LOC100498452
rna29581	Xetrov90001024m.g
rna48856	fat4
rna44128	LOC108648245
rna62718	ankrd50
rna62719	ankrd50
rna62720	ankrd50
rna32468	Xetrov90001028m.g
rna18233	spry1
rna18234	spry1
rna18232	spry1
rna42621	spata5
rna42622	spata5
rna42623	spata5
rna34004	Xetrov90001030m.g
rna11887	nudt6
rna11888	nudt6
rna11889	nudt6
rna11886	nudt6
rna11885	nudt6
rna11890	nudt6
rna55316	fgf2
rna55317	fgf2
rna6659	bbs12
rna6660	bbs12
rna6658	bbs12
rna16581	cetn4
rna16580	cetn4
rna16582	cetn4
rna54240	il21
rna14441	il-2
rna14442	il-2
rna20088	adad1
rna20089	adad1
rna44962	LOC101733939
rna34118	Xetrov90001041m.g
rna38304	LOC108648250
rna31950	Xetrov90001042m.g
rna33576	Xetrov90001043m.g
rna60034	LOC105946228
rna6924	adad1-like.1
rna30972	Xetrov90001044m.g
rna39600	LOC108648248
rna62834	LOC108645673
rna56965	LOC101734304
rna28410	adad1-like.2
rna1270	LOC105946226
rna1271	LOC105946226
rna1272	LOC105946226
rna1273	LOC105946226
rna1274	LOC105946226
rna1275	LOC105946226
rna1276	LOC105946226
rna1277	LOC105946226
rna1269	LOC105946226
rna34024	Xetrov90001049m.g
rna29565	Xetrov90001050m.g
rna34170	Xetrov90001051m.g
rna36558	LOC108648249
rna41442	LOC105946227
rna48181	LOC108648247
rna34523	LOC101734559
rna58563	LOC108648246
rna32004	Xetrov90001056m.g
rna33967	kiaa1109
rna33968	kiaa1109
rna28045	kiaa1109
rna32475	kiaa1109
rna35556	kiaa1109
rna42679	trpc3
rna25667	bbs7
rna25668	bbs7
rna25669	bbs7
rna25666	bbs7
rna25670	bbs7
rna25671	bbs7
rna10051	ccna2
rna10052	ccna2
rna12823	exosc9
rna12822	exosc9
rna9885	anxa5
rna9886	anxa5
rna56572	cyp2u1
rna17263	hadh
rna17265	hadh
rna17264	hadh
rna56806	lef1
rna56807	lef1
rna56808	lef1
rna29167	Xetrov90001068m.g
rna42377	LOC105946347
rna33064	Xetrov90001070m.g
rna33065	Xetrov90001070m.g
rna30130	Xetrov90001072m.g
rna22427	ostc
rna22426	ostc
rna22428	ostc
rna22429	ostc
rna58855	LOC101733888
rna4300	etnppl
rna4299	etnppl
rna42359	col25a1.2
rna23306	rpl34
rna23307	rpl34
rna23308	rpl34
rna23309	rpl34
rna40748	sec24b
rna40746	sec24b
rna40747	sec24b
rna3026	ccdc109b
rna3027	ccdc109b
rna50419	pyurf
rna55099	pigy
rna55100	pigy
rna20380	c4orf32
rna20379	c4orf32
rna30429	Xetrov90001083m.g
rna62936	LOC105946224
rna17044	pitx2
rna17045	pitx2
rna17046	pitx2
rna37516	enpep
rna16538	elovl6
rna16539	elovl6
rna36167	egf
rna36168	egf
rna17939	lrit3
rna17938	lrit3
rna12385	rrh
rna12386	rrh
rna20293	gar1
rna20292	gar1
rna4827	cfi
rna4828	cfi
rna4826	cfi
rna21724	pla2g12a
rna21725	pla2g12a
rna7313	casp6
rna7314	casp6
rna9059	ap1ar
rna9061	ap1ar
rna9060	ap1ar
rna9058	ap1ar
rna9062	ap1ar
rna42186	tifa
rna41914	alpk1
rna41915	alpk1
rna13806	neurog2
rna13805	neurog2
rna34890	Xetrov90001099m.g
rna34575	LOC100327248
rna54786	zgrf1
rna48538	larp7
rna38057	LOC108648251
rna61214	mir367
rna61215	mir367
rna51020	mir302
rna51021	mir302
rna44194	LOC100493381
rna44195	LOC100493381
rna44196	LOC100493381
rna27964	Xetrov90001104m.g
rna32419	Xetrov90001105m.g
rna48949	ank2
rna48950	ank2
rna48951	ank2
rna48960	ank2
rna48954	ank2
rna48963	ank2
rna48961	ank2
rna48958	ank2
rna48955	ank2
rna48952	ank2
rna48957	ank2
rna48962	ank2
rna48959	ank2
rna48953	ank2
rna48956	ank2
rna31918	Xetrov90001110m.g
rna33270	ank2
rna41871	camk2d
rna41873	camk2d
rna41872	camk2d
rna41874	camk2d
rna41875	camk2d
rna41876	camk2d
rna41877	camk2d
rna41878	camk2d
rna41879	camk2d
rna41880	camk2d
rna41881	camk2d
rna41882	camk2d
rna41883	camk2d
rna58571	arsj
rna27899	Xetrov90001117m.g
rna37562	ugt8
rna37563	ugt8
rna50452	LOC100493539
rna50453	LOC100493539
rna58696	ndst4
rna58697	ndst4
rna32977	Xetrov90001121m.g
rna40377	LOC101732889
rna40378	LOC101732889
rna40379	LOC101732889
rna48868	ndst3
rna15730	LOC101732926
rna15729	LOC101732926
rna36786	prss12
rna3023	ctu1
rna3022	ctu1
rna6737	mettl14
rna6738	mettl14
rna17880	sec24d-like.1
rna17882	sec24d-like.1
rna17881	sec24d-like.1
rna30070	Xetrov90001128m.g
rna52747	synpo2
rna27524	myoz2
rna27525	myoz2
rna27526	myoz2
rna27522	myoz2
rna27523	myoz2
rna27527	myoz2
rna36015	usp53
rna13428	LOC105946225
rna13427	LOC105946225
rna27579	fabp2
rna27578	fabp2
rna27577	fabp2
rna27580	fabp2
rna46556	pde5a
rna46557	pde5a
rna46558	pde5a
rna46559	pde5a
rna46560	pde5a
rna39999	LOC101733770
rna7326	mad2l1
rna7325	mad2l1
rna42727	prdm5
rna42728	prdm5
rna16122	ndnf
rna16123	ndnf
rna16121	ndnf
rna983	tnip3
rna982	tnip3
rna23419	qrfpr
rna23420	qrfpr
rna23421	qrfpr
rna23418	qrfpr
rna32710	Xetrov90001142m.g
rna14305	sgms2
rna14304	sgms2
rna14306	sgms2
rna14307	sgms2
rna14308	sgms2
rna14309	sgms2
rna7504	papss1
rna7503	papss1
rna7505	papss1
rna56148	dkk2
rna64209	LOC100493511
rna39685	gimd1
rna15430	aimp1
rna15432	aimp1
rna15431	aimp1
rna15433	aimp1
rna15434	aimp1
rna46250	tbck
rna46249	tbck
rna46251	tbck
rna46252	tbck
rna27629	Xetrov90001152m.g
rna16210	npnt
rna16211	npnt
rna16212	npnt
rna16213	npnt
rna16214	npnt
rna16208	npnt
rna16209	npnt
rna15952	gstcd
rna15953	gstcd
rna15950	gstcd
rna15951	gstcd
rna15954	gstcd
rna24199	ints12
rna24198	ints12
rna24196	ints12
rna24197	ints12
rna24202	ints12
rna24200	ints12
rna24201	ints12
rna24203	ints12
rna61440	arhgef38
rna710	ppa1
rna711	ppa1
rna28804	Xetrov90001162m.g
rna48461	tet2
rna48462	tet2
rna48463	tet2
rna31832	Xetrov90001164m.g
rna50961	cxxc4
rna50962	cxxc4
rna50963	cxxc4
rna61112	LOC105946345
rna30288	Xetrov90001167m.g
rna44464	tacr3
rna60888	LOC105946346
rna54504	cenpe
rna14621	bdh2
rna14622	bdh2
rna14619	bdh2
rna14620	bdh2
rna14623	bdh2
rna63519	slc9b2
rna63520	slc9b2
rna63521	slc9b2
rna58529	cisd2
rna58530	cisd2
rna48590	ube2d3
rna53684	manba
rna53685	manba
rna24095	nfkb1
rna24096	nfkb1
rna24094	nfkb1
rna13905	slc39a8
rna13906	slc39a8
rna13904	slc39a8
rna62001	LOC101731251
rna62002	LOC101731251
rna62003	LOC101731251
rna47115	bank1
rna53724	ppp3ca
rna53725	ppp3ca
rna53726	ppp3ca
rna53727	ppp3ca
rna62676	emcn
rna62677	emcn
rna39897	ddit4l
rna10238	adh1c
rna10237	adh1c
rna13444	h2afz
rna13445	h2afz
rna15578	dnajb14
rna15579	dnajb14
rna59563	mttp.1
rna59564	mttp.1
rna56861	LOC101731618
rna13915	dapp1
rna13916	dapp1
rna13914	dapp1
rna63975	adh7
rna55632	adh1
rna26120	adh1b
rna26121	adh1b
rna35133	LOC100486839
rna59743	LOC100487777
rna55150	adh1a
rna39304	LOC100488099
rna63979	adh4
rna27438	adh5
rna27439	adh5
rna23123	metap1
rna23124	metap1
rna23125	metap1
rna12313	eif4e
rna12314	eif4e
rna53164	tspan5
rna53165	tspan5
rna51017	rap1gds1
rna51016	rap1gds1
rna42789	stpg2
rna27628	Xetrov90001211m.g
rna63616	unc5c
rna63615	unc5c
rna55658	bmpr1b
rna55659	bmpr1b
rna55660	bmpr1b
rna32090	Xetrov90001216m.g
rna32659	Xetrov90001217m.g
rna38652	pdlim5
rna38653	pdlim5
rna38654	pdlim5
rna38655	pdlim5
rna38656	pdlim5
rna38657	pdlim5
rna38658	pdlim5
rna38659	pdlim5
rna38660	pdlim5
rna38661	pdlim5
rna38662	pdlim5
rna38663	pdlim5
rna38664	pdlim5
rna38665	pdlim5
rna38666	pdlim5
rna59761	LOC100485437
rna14477	hpgds
rna14478	hpgds
rna14479	hpgds
rna43258	smarcad1
rna43259	smarcad1
rna43260	smarcad1
rna50600	atoh1
rna59725	grid2
rna48754	LOC108648252
rna55352	ccser1
rna55353	ccser1
rna34239	Xetrov90001225m.g
rna29311	Xetrov90001226m.g
rna61810	mmrn1
rna29184	mmrn1
rna6293	snca
rna6294	snca
rna6292	snca
rna6295	snca
rna37152	gprin3
rna57587	LOC100489122
rna49918	fam13a
rna49917	fam13a
rna49923	fam13a
rna49919	fam13a
rna49924	fam13a
rna49922	fam13a
rna49921	fam13a
rna49920	fam13a
rna49925	fam13a
rna49926	fam13a
rna49927	fam13a
rna22579	herc3
rna22580	herc3
rna22581	herc3
rna48531	jchain
rna19971	dck.1
rna19970	dck.1
rna30592	Xetrov90001239m.g
rna11237	mob1b
rna11238	mob1b
rna48235	rufy3
rna48237	rufy3
rna48236	rufy3
rna48238	rufy3
rna48239	rufy3
rna48240	rufy3
rna48241	rufy3
rna48242	rufy3
rna38380	herc6
rna60874	ppm1k
rna60875	ppm1k
rna19057	abcg2
rna19056	abcg2
rna19058	abcg2
rna50888	pkd2
rna50889	pkd2
rna50890	pkd2
rna50891	pkd2
rna50892	pkd2
rna8944	LOC100271753
rna8943	LOC100271753
rna8945	LOC100271753
rna49317	LOC100488166
rna6354	ibsp
rna6355	ibsp
rna50253	dspp
rna50254	dspp
rna63838	dmp1
rna39995	odam
rna39996	odam
rna46914	cdkl2
rna46915	cdkl2
rna46916	cdkl2
rna9976	g3bp2
rna9977	g3bp2
rna9978	g3bp2
rna9974	g3bp2
rna9975	g3bp2
rna9979	g3bp2
rna21702	uso1
rna21703	uso1
rna21705	uso1
rna21704	uso1
rna21701	uso1
rna1283	enam
rna1284	enam
rna1282	enam
rna19953	ambn
rna19954	ambn
rna56848	LOC105946460
rna3597	rchy1
rna3596	rchy1
rna3598	rchy1
rna16533	parm1
rna16534	parm1
rna16535	parm1
rna16532	parm1
rna24624	btc
rna24623	btc
rna24625	btc
rna24626	btc
rna24627	btc
rna37500	LOC101731881
rna57184	LOC100490898
rna57185	LOC100490898
rna62162	uhrf1
rna62163	uhrf1
rna31432	Xetrov90001264m.g
rna39085	LOC108648276
rna49699	LOC100498069
rna30630	Xetrov90001268m.g
rna55977	LOC108648277
rna50455	adgrl3
rna50456	adgrl3
rna34397	Xetrov90001274m.g
rna30808	Xetrov90001275m.g
rna60425	LOC108648278
rna37991	LOC101732228
rna45985	LOC105946088
rna28459	Xetrov90001278m.g
rna48158	LOC108648281
rna56526	kdm4b
rna56527	kdm4b
rna56528	kdm4b
rna56529	kdm4b
rna56530	kdm4b
rna56531	kdm4b
rna56533	kdm4b
rna56532	kdm4b
rna56534	kdm4b
rna35805	LOC108648284
rna43790	LOC105946089
rna32936	Xetrov90001282m.g
rna30338	ptprs
rna29249	ptprs
rna32038	ptprs
rna31627	ptprs
rna60362	ptprs
rna32494	Xetrov90001284m.g
rna39357	LOC101732465
rna32574	Xetrov90001286m.g
rna17537	noa1
rna17538	noa1
rna17539	noa1
rna17540	noa1
rna17541	noa1
rna1467	polr2b
rna1468	polr2b
rna1466	polr2b
rna27158	rest
rna27157	rest
rna27156	rest
rna27155	rest
rna27159	rest
rna27160	rest
rna27161	rest
rna45915	hnrnpm
rna45916	hnrnpm
rna45917	hnrnpm
rna45918	hnrnpm
rna45919	hnrnpm
rna31066	Xetrov90001292m.g
rna56512	timm44
rna56513	timm44
rna56514	timm44
rna28967	Xetrov90001295m.g
rna60529	ctxn1
rna37550	fbn3
rna37551	fbn3
rna20786	cers4
rna20785	cers4
rna38682	LOC100489862
rna16724	lsm7
rna16725	lsm7
rna16723	lsm7
rna53237	sppl2b
rna53238	sppl2b
rna53239	sppl2b
rna53240	sppl2b
rna26211	tmprss9
rna26210	tmprss9
rna26212	tmprss9
rna26213	tmprss9
rna26214	tmprss9
rna21157	timm13
rna21158	timm13
rna6210	lmnb2
rna6209	lmnb2
rna25689	rpl36
rna25690	rpl36
rna41824	lrrc14b
rna48303	LOC100488960
rna55142	mfsd12
rna55143	mfsd12
rna61642	LOC100494408
rna61643	LOC100494408
rna37779	pias4
rna37780	pias4
rna44260	LOC108648316
rna9270	eef2.1
rna9271	eef2.1
rna10596	dapk3
rna10595	dapk3
rna10597	dapk3
rna41959	atcay
rna41960	atcay
rna61508	matk
rna17161	LOC100494570
rna17162	LOC100494570
rna7068	rax2
rna7067	rax2
rna9149	mrpl54
rna9148	mrpl54
rna38144	apba3
rna38143	apba3
rna27409	tjp3
rna27410	tjp3
rna27411	tjp3
rna27412	tjp3
rna27407	tjp3
rna27408	tjp3
rna61066	pip5k1c
rna61067	pip5k1c
rna61068	pip5k1c
rna55533	cactin
rna3400	tbxa2r
rna3401	tbxa2r
rna39119	gipc3
rna3278	hmg20b
rna3279	hmg20b
rna3280	hmg20b
rna19548	c19orf10
rna19547	c19orf10
rna2528	dpp9
rna2529	dpp9
rna56334	sema6b
rna56335	sema6b
rna56337	sema6b
rna56336	sema6b
rna56338	sema6b
rna42475	plin3
rna42476	plin3
rna42477	plin3
rna42478	plin3
rna42479	plin3
rna42480	plin3
rna2271	hdgfrp2
rna2272	hdgfrp2
